metric,value
persons,2694
condition_records,65332
deaths,0
people_over_100,98
max_recorded_age,110
osteoarthritis_people,2694
osteoarthritis_prevalence_pct,100.0
osteoarthritis_age_window,31-47
one_shot_module_conditions,8
celecoxib_users,1844
celecoxib_pct,68.4
td_toxoid_users,2660
td_toxoid_pct,98.7
gi_hemorrhage_people,479
bleeders_on_celecoxib,355
ordering_drug_first,355
ordering_bleed_first,0
risk_ratio,1.32
odds_ratio,1.4
otitis_intersect_oa,2025
viral_sinusitis_recs_per_person,6.43
viral_sinusitis_age_window,0-109
ecoli_uti_recs_per_person,1.15
generator,Synthea
cdm_version,v5.3.1
source_release_date,2019-05-25
vocabulary_version,v5.0 18-JAN-19
